company_name,symbol,sector,aliases
360 One Wam,360ONE,Financial Services,360ONE|360 One Wam
Grand Foundry,513343.BO,Metals & Mining,GRAND FOUNDRY Ltd|Grand Foundry|513343
Oxford Industries,514414.BO,Textiles,OXFORD INDUSTRIES LIMITED|Oxford Industries|514414
Baba Arts,532380.BO,Media & Entertainment,BABA ARTS LTD|Baba Arts|532380
Aarti Industries,AARTIIND,Chemicals,Aarti|Aarti Industries|AartiInd
Aavas Financiers,AAVAS,NBFC,Aavas|Aavas Financiers
ABB India,ABB,Capital Goods,ABB|ABB India
Abbott India,ABBOTINDIA,Pharma,Abbott|Abbott India
Aditya Birla Capital,ABCAPITAL,Financial Services,Aditya|ABCAPITAL|Aditya Birla Capital
ACC,ACC,Cement,ACC|ACC Cement|ACC Ltd
Adani Energy Solutions,ADANIENSOL,Power,Adani Energy|AESL
Adani Enterprises,ADANIENT,Conglomerate,Adani|Adani Enterprises|AEL|Gautam Adani
Adani Green Energy,ADANIGREEN,Green Energy,Adani Green|AdaniGreen|Adani Solar
Adani Ports,ADANIPORTS,Infrastructure,Adani Ports|APSEZ|Adani Port
Adani Power,ADANIPOWER,Power,Adani Power|AdaniPower
Akzo Nobel,AKZOINDIA,Paints,Akzo|Akzo Nobel|AkzoNobel India
Alkem Laboratories,ALKEM,Pharma,Alkem|Alkem Labs
Alok Industries,ALOKINDS,Textile,Alok|Alok Industries
Amber Enterprises,AMBER,Capital Goods,Amber|Amber Enterprises
Ambuja Cements,AMBUJACEM,Cement,Ambuja|Ambuja Cement|Ambujacements|Adani Cement
Angel One,ANGELONE,Financial Services,Angel One|Angel|ANGELONE
Apar Industries,APARINDS,Capital Goods,Apar|Apar Industries
APL Apollo Tubes,APLAPOLLO,Metal & Mining,APL Apollo|APLApollo
Apollo Hospitals Enterprise,APOLLOHOSP,Healthcare,Apollo|APOLLOHOSP|Apollo Hospitals Enterprise
Apollo Tyres,APOLLOTYRE,Automobile,Apollo Tyres|ApolloTyre|Apollo
Aptus Value Housing,APTUS,NBFC,Aptus|Aptus Value Housing
Arvind,ARVIND,Textile,Arvind|Arvind Ltd|Arvind Textiles
Ashoka Buildcon,ASHOKA,Infrastructure,Ashoka|Ashoka Buildcon
Ashok Leyland,ASHOKLEY,Automobile,Ashok Leyland|AshokLeyland|Hinduja truck
